"Reference:","E1789734"
"Date:","Tue Jun 30 2026 15:51:00 GMT+0200 (Midden-Europese zomertijd)"
"Generated by:","Eurocircuits PCBA Visualizer"

"Reference designators","Quantity","MPN","Manufacturer","Description"
"J2","1","2193200001","Molex","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Through Hole"
"L2","1","CDRH124NP-6R8MC","Sumida","6.8 µH Shielded Inductor 4.9 A,  ±20%, 23mOhm Max Nonstandard"
"L3","1","AOTA-B201610S3R3-101-T","Abracon","3.3 µH ±20% Shielded Molded Inductor 2.1 A 140mOhm Max 0806 (2016 Metric)"
"Q1, Q2","2","DMP2035U-7","Diodes Inc.","Transistor, P-Channel Enhancement Mode MOSFET, SMD"
"R22","1","RMCF0603FT21K5","Stackpole Electronics","21.5 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R27","1","RT0603DRE07340KL","Yageo","340 kOhms ±0.5% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Thin Film"
"R29","1","RMCF0603FT316K","Stackpole Electronics","316 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"S1","1","PTS810SJK250SMTRLFS","C&K Components","Tactile Switch SPST-NO Top Actuated Surface Mount"
"S2","1","200AWMSP1T2A1M2RE","E-Switch","Toggle Switch SPDT Through Hole"
"U1","1","SAM-M10Q-00B","U-Blox","- RF Receiver Galileo, GLONASS, GPS 1.575GHz, 1.602GHz -165dBm 400kbps On-Board, Patch Module"
"U2","1","TPL5010DDCR","Texas Instruments","Programmable Timer IC  TSOT-23-6"
"U3","1","BQ25176MDSGR","Texas Instruments","800-mA linear battery charger for one-cell Li-ion and LiFePO4 with VINDPM 8-WSON -40 to 125"
"Y1","1","ABM8-272-T3","Abracon","12 MHz ±30ppm Crystal 10 pF 50 Ohms 4-SMD, No Lead"
